,id,season,city,date,team_1,team_2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,venue,inning_1_score,inning_2_score,team_batting_first,team_batting_second
238,239,IPL-2011,Mumbai,2011-10-04,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,normal,Pune Warriors,0,7,SB Wagh,Dr DY Patil Sports Academy,112,113,Kings XI Punjab,Pune Warriors
237,238,IPL-2011,Delhi,2011-10-04,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,Mumbai Indians,0,8,SL Malinga,Feroz Shah Kotla,95,99,Delhi Daredevils,Mumbai Indians
285,286,IPL-2011,Hyderabad,2011-10-05,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,Pune Warriors,0,6,MR Marsh,"RGIS, Uppal",136,137,Deccan Chargers,Pune Warriors
286,287,IPL-2011,Chandigarh,2011-10-05,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Kings XI Punjab,76,0,BA Bhatt,"Punjab Cricket Association Stadium, Mohali",163,87,Kings XI Punjab,Mumbai Indians
239,240,IPL-2011,Kolkata,2011-11-04,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,9,0,JH Kallis,Eden Gardens,163,154,Kolkata Knight Riders,Deccan Chargers
287,288,IPL-2011,Jaipur,2011-11-05,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,9,S Aravind,Sawai Mansingh Stadium,146,151,Rajasthan Royals,Royal Challengers Bangalore
240,241,IPL-2011,Jaipur,2011-12-04,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,Rajasthan Royals,0,6,SK Warne,Sawai Mansingh Stadium,151,152,Delhi Daredevils,Rajasthan Royals
241,242,IPL-2011,Bangalore,2011-12-04,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,9,SR Tendulkar,M Chinnaswamy Stadium,140,143,Royal Challengers Bangalore,Mumbai Indians
288,289,IPL-2011,Chennai,2011-12-05,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,Chennai Super Kings,18,0,MS Dhoni,Chepauk,176,158,Chennai Super Kings,Delhi Daredevils
347,348,IPL-2012,Cuttack,2012-01-05,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,Deccan Chargers,13,0,KC Sangakkara,Barabati Stadium,186,173,Deccan Chargers,Pune Warriors
348,349,IPL-2012,Jaipur,2012-01-05,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,Delhi Daredevils,0,6,P Negi,Sawai Mansingh Stadium,141,144,Rajasthan Royals,Delhi Daredevils
349,350,IPL-2012,Bangalore,2012-02-05,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,4,Azhar Mahmood,M Chinnaswamy Stadium,158,163,Royal Challengers Bangalore,Kings XI Punjab
350,351,IPL-2012,Pune,2012-03-05,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,normal,Mumbai Indians,1,0,SL Malinga,Subrata Roy Sahara Stadium,120,119,Mumbai Indians,Pune Warriors
307,308,IPL-2012,Chennai,2012-04-04,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,8,RE Levi,Chepauk,112,115,Chennai Super Kings,Mumbai Indians
351,352,IPL-2012,Chennai,2012-04-05,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,Chennai Super Kings,10,0,SK Raina,Chepauk,160,150,Chennai Super Kings,Deccan Chargers
321,322,IPL-2012,Kolkata,2012-04-13,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,Kolkata Knight Riders,0,5,Shakib Al Hasan,Eden Gardens,131,137,Rajasthan Royals,Kolkata Knight Riders
323,324,IPL-2012,Pune,2012-04-14,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,normal,Pune Warriors,0,7,JD Ryder,Subrata Roy Sahara Stadium,155,156,Chennai Super Kings,Pune Warriors
324,325,IPL-2012,Kolkata,2012-04-15,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kings XI Punjab,2,0,SP Narine,Eden Gardens,134,132,Kings XI Punjab,Kolkata Knight Riders
325,326,IPL-2012,Bangalore,2012-04-15,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,Rajasthan Royals,59,0,AM Rahane,M Chinnaswamy Stadium,195,136,Rajasthan Royals,Royal Challengers Bangalore
326,327,IPL-2012,Mumbai,2012-04-16,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,7,S Nadeem,Wankhede Stadium,92,93,Mumbai Indians,Delhi Daredevils
327,328,IPL-2012,Jaipur,2012-04-17,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,Rajasthan Royals,0,5,BJ Hodge,Sawai Mansingh Stadium,196,197,Deccan Chargers,Rajasthan Royals
328,329,IPL-2012,Bangalore,2012-04-17,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,normal,Royal Challengers Bangalore,0,6,CH Gayle,M Chinnaswamy Stadium,182,186,Pune Warriors,Royal Challengers Bangalore
329,330,IPL-2012,Chandigarh,2012-04-18,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,Kolkata Knight Riders,0,8,G Gambhir,"Punjab Cricket Association Stadium, Mohali",124,127,Kings XI Punjab,Kolkata Knight Riders
322,323,IPL-2012,Delhi,2012-04-19,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,Delhi Daredevils,0,5,KP Pietersen,Feroz Shah Kotla,157,162,Deccan Chargers,Delhi Daredevils
331,332,IPL-2012,Chennai,2012-04-19,Chennai Super Kings,Pune Warriors,Pune Warriors,field,normal,Chennai Super Kings,13,0,KMDN Kulasekara,Chepauk,164,151,Chennai Super Kings,Pune Warriors
332,333,IPL-2012,Chandigarh,2012-04-20,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,5,CH Gayle,"Punjab Cricket Association Stadium, Mohali",163,166,Kings XI Punjab,Royal Challengers Bangalore
333,334,IPL-2012,Chennai,2012-04-21,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,Chennai Super Kings,0,7,F du Plessis,Chepauk,146,147,Rajasthan Royals,Chennai Super Kings
334,335,IPL-2012,Delhi,2012-04-21,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,normal,Pune Warriors,20,0,SC Ganguly,Feroz Shah Kotla,192,172,Pune Warriors,Delhi Daredevils
335,336,IPL-2012,Mumbai,2012-04-22,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,Kings XI Punjab,0,6,SE Marsh,Wankhede Stadium,163,164,Mumbai Indians,Kings XI Punjab
336,337,IPL-2012,Cuttack,2012-04-22,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,5,B Lee,Barabati Stadium,126,127,Deccan Chargers,Kolkata Knight Riders
337,338,IPL-2012,Jaipur,2012-04-23,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,Royal Challengers Bangalore,46,0,AB de Villiers,Sawai Mansingh Stadium,189,143,Royal Challengers Bangalore,Rajasthan Royals
