,player,total_runs,out,numberofballs,average,strikerate,wickets
110,DT Christian,448,24,373,18.6666666666667,120.107238605898,32
111,Gurkeerat Singh,443,26,342,17.0384615384615,129.53216374269,5
112,E Lewis,437,16,327,27.3125,133.639143730887,0
113,NLTC Perera,424,24,305,17.6666666666667,139.016393442623,29
114,SA Asnodkar,423,19,339,22.2631578947368,124.778761061947,0
115,JR Hopes,417,17,305,24.5294117647059,136.72131147541,12
116,SN Khan,412,18,285,22.8888888888889,144.561403508772,0
117,J Botha,409,22,358,18.5909090909091,114.245810055866,25
118,LR Shukla,405,29,346,13.9655172413793,117.052023121387,15
119,AL Menaria,401,22,356,18.2272727272727,112.640449438202,3
120,MV Boucher,394,15,308,26.2666666666667,127.922077922078,0
121,CA Pujara,390,18,391,21.6666666666667,99.7442455242967,0
122,Azhar Mahmood,388,19,302,20.4210526315789,128.476821192053,29
123,R Ashwin,376,33,336,11.3939393939394,111.904761904762,117
124,DB Ravi Teja,375,20,317,18.75,118.296529968454,1
125,S Sohal,368,18,290,20.4444444444444,126.896551724138,0
126,A Mishra,366,29,385,12.6206896551724,95.0649350649351,147
127,P Negi,365,26,288,14.0384615384615,126.736111111111,35
128,R Bhatia,342,29,284,11.7931034482759,120.422535211268,71
129,P Kumar,340,34,314,10,108.28025477707,88
130,AP Tare,339,24,273,14.125,124.175824175824,0
131,SW Billings,337,19,250,17.7368421052632,134.8,0
132,JEC Franklin,327,11,300,29.7272727272727,109,9
133,RN ten Doeschate,326,17,234,19.1764705882353,139.316239316239,2
134,KV Sharma,317,21,270,15.0952380952381,117.407407407407,55
135,R Vinay Kumar,310,26,271,11.9230769230769,114.391143911439,105
136,DB Das,304,12,260,25.3333333333333,116.923076923077,0
137,C de Grandhomme,304,15,223,20.2666666666667,136.322869955157,6
138,M Ali,302,10,177,30.2,170.621468926554,9
139,LA Pomersbach,302,11,244,27.4545454545455,123.770491803279,0
140,UBT Chand,300,20,300,15,100,0
141,SP Goswami,295,18,290,16.3888888888889,101.724137931034,0
142,DJG Sammy,295,15,241,19.6666666666667,122.406639004149,11
143,Y Nagar,285,15,257,19,110.894941634241,4
144,VVS Laxman,282,16,266,17.625,106.015037593985,0
145,GH Vihari,280,18,312,15.5555555555556,89.7435897435897,1
146,A Ashish Reddy,280,15,191,18.6666666666667,146.596858638743,18
147,B Chipli,280,16,250,17.5,112,0
148,MJ Lumb,278,10,193,27.8,144.041450777202,0
149,MJ Guptill,271,12,196,22.5833333333333,138.265306122449,0
150,R Sathish,270,16,231,16.875,116.883116883117,3
151,M Kaif,259,16,249,16.1875,104.016064257028,0
152,SM Katich,241,10,184,24.1,130.978260869565,0
153,BCJ Cutting,239,11,141,21.7272727272727,169.503546099291,10
154,MD Mishra,237,15,208,15.8,113.942307692308,0
155,MR Marsh,225,12,196,18.75,114.795918367347,18
156,K Goel,218,13,230,16.7692307692308,94.7826086956522,0
157,AA Jhunjhunwala,217,14,210,15.5,103.333333333333,1
158,TM Head,205,6,148,34.1666666666667,138.513513513514,2
159,PD Collingwood,203,4,156,50.75,130.128205128205,5
160,SK Warne,198,19,213,10.4210526315789,92.9577464788732,57
161,SP Fleming,196,9,165,21.7777777777778,118.787878787879,0
162,AS Raut,194,11,167,17.6363636363636,116.167664670659,0
163,BJ Rohrer,193,7,141,27.5714285714286,136.879432624113,0
164,Salman Butt,193,7,161,27.5714285714286,119.875776397516,0
165,YV Takawale,192,8,178,24,107.865168539326,0
166,Bipul Sharma,187,6,121,31.1666666666667,154.545454545455,17
167,C Ingram,184,10,154,18.4,119.480519480519,0
168,B Kumar,184,23,189,8,97.3544973544974,129
169,FY Fazal,183,9,172,20.3333333333333,106.395348837209,0
170,JJ Roy,183,5,135,36.6,135.555555555556,0
171,CR Brathwaite,182,14,110,13,165.454545454545,13
172,AC Voges,181,6,142,30.1666666666667,127.464788732394,0
173,AB Agarkar,179,8,152,22.375,117.763157894737,29
174,C Munro,178,9,141,19.7777777777778,126.241134751773,0
175,MF Maharoof,177,10,122,17.7,145.081967213115,27
176,DH Yagnik,170,9,135,18.8888888888889,125.925925925926,0
177,N Pooran,170,6,106,28.3333333333333,160.377358490566,0
178,CM Gautam,169,9,148,18.7777777777778,114.189189189189,0
179,MG Johnson,168,14,161,12,104.347826086957,62
180,MN van Wyk,167,3,132,55.6666666666667,126.515151515152,0
181,DW Steyn,166,22,157,7.54545454545455,105.732484076433,93
182,PA Reddy,164,10,160,16.4,102.5,0
183,R Parag,161,4,126,40.25,127.777777777778,1
184,MN Samuels,161,12,171,13.4166666666667,94.1520467836257,9
185,Ankit Sharma,160,10,108,16,148.148148148148,13
